기준년월,기초지자체,중분류,소비액(천원),전년도 지출액
202110,파주시,관광총소비,1.33212956E8,1.2471655E8
202111,파주시,관광총소비,1.14555871E8,1.0123161E8
202112,파주시,관광총소비,1.00791023E8,7.8992987E7
202201,파주시,관광총소비,1.01405836E8,7.661477E7
202202,파주시,관광총소비,8.1164619E7,8.7209239E7
202203,파주시,관광총소비,1.06848111E8,9.982282E7
202204,파주시,관광총소비,1.2368024E8,1.06400355E8
202205,파주시,관광총소비,1.34060043E8,1.16291802E8
202206,파주시,관광총소비,1.17779635E8,1.01581596E8
202207,파주시,관광총소비,1.1907988E8,9.7180388E7
202208,파주시,관광총소비,1.15504355E8,1.03296139E8
202209,파주시,관광총소비,1.26297211E8,1.17749852E8
202110,파주시,호텔,103167.0,69012.0
202110,파주시,캠핑장/펜션,56071.0,30121.0
202110,파주시,기타숙박,711572.0,697120.0
202110,파주시,여행업,65504.0,108992.0
202110,파주시,렌터카,6940.0,5594.0
202110,파주시,레저용품쇼핑,1663185.0,1461251.0
202110,파주시,기타관광쇼핑,1.7848603E7,1.5710916E7
202110,파주시,관광유원시설,679846.0,588389.0
202110,파주시,골프장,1.0574369E7,1.0436671E7
202110,파주시,기타레저,1676627.0,1466767.0
202110,파주시,문화서비스,567735.0,627126.0
202110,파주시,육상운송,1.5908889E7,1.2028614E7
202110,파주시,대형쇼핑몰,5.0522457E7,5.2326747E7
202110,파주시,의료관광,188054.0,142517.0
202110,파주시,뷰티,930696.0,777888.0
202110,파주시,일반외식업,2.5516305E7,2.360533E7
202110,파주시,제과음료업,6192936.0,4633495.0
202111,파주시,호텔,119479.0,80859.0
202111,파주시,캠핑장/펜션,48789.0,36867.0
202111,파주시,기타숙박,709236.0,637513.0
202111,파주시,여행업,39818.0,54837.0
202111,파주시,육상운송,1.5154733E7,1.1214798E7
202111,파주시,렌터카,1479.0,6121.0
202111,파주시,레저용품쇼핑,1681843.0,1210910.0
202111,파주시,기타관광쇼핑,1.6682538E7,1.4949245E7
202111,파주시,관광유원시설,328844.0,241155.0
202111,파주시,골프장,8466295.0,7432634.0
202111,파주시,기타레저,1315263.0,1049040.0
202111,파주시,문화서비스,521851.0,472014.0
202111,파주시,대형쇼핑몰,4.0208917E7,4.0213144E7
202111,파주시,의료관광,185712.0,149209.0
202111,파주시,뷰티,861165.0,756030.0
202111,파주시,일반외식업,2.3339852E7,1.924344E7
202111,파주시,제과음료업,4890058.0,3483793.0
202112,파주시,호텔,100358.0,50354.0
202112,파주시,캠핑장/펜션,48895.0,28624.0
202112,파주시,기타숙박,683295.0,541742.0
202112,파주시,여행업,3892.0,71110.0
202112,파주시,육상운송,1.526977E7,1.1706395E7
202112,파주시,렌터카,1203.0,10993.0
202112,파주시,레저용품쇼핑,1254729.0,858934.0
202112,파주시,기타관광쇼핑,1.6541231E7,1.5064899E7
202112,파주시,관광유원시설,251892.0,176192.0
202112,파주시,골프장,3839353.0,2870184.0
202112,파주시,기타레저,983589.0,355472.0
202112,파주시,문화서비스,562336.0,406477.0
202112,파주시,대형쇼핑몰,3.378699E7,2.9126107E7
202112,파주시,의료관광,219870.0,157323.0
202112,파주시,뷰티,949394.0,665034.0
202112,파주시,일반외식업,2.1104021E7,1.4178332E7
202112,파주시,제과음료업,5190206.0,2724814.0
202201,파주시,호텔,128462.0,67861.0
202201,파주시,캠핑장/펜션,56199.0,26994.0
202201,파주시,기타숙박,591235.0,562667.0
202201,파주시,여행업,4500.0,148784.0
202201,파주시,레저용품쇼핑,1187552.0,831609.0
202201,파주시,기타관광쇼핑,1.849235E7,1.4917628E7
202201,파주시,관광유원시설,216243.0,162929.0
202201,파주시,골프장,2205502.0,1528748.0
202201,파주시,기타레저,1128804.0,600261.0
202201,파주시,문화서비스,569073.0,432735.0
202201,파주시,육상운송,1.4439405E7,1.1092485E7
202201,파주시,렌터카,7631.0,7029.0
202201,파주시,대형쇼핑몰,3.4175517E7,2.7293332E7
202201,파주시,의료관광,184210.0,134818.0
202201,파주시,뷰티,965487.0,717694.0
202201,파주시,일반외식업,2.1195148E7,1.5012883E7
202201,파주시,제과음료업,5858518.0,3076314.0
202202,파주시,호텔,115763.0,63906.0
202202,파주시,캠핑장/펜션,41825.0,37703.0
202202,파주시,기타숙박,626173.0,518299.0
202202,파주시,렌터카,2306.0,7262.0
202202,파주시,레저용품쇼핑,950647.0,1030210.0
202202,파주시,기타관광쇼핑,1.3904035E7,1.491332E7
202202,파주시,관광유원시설,161152.0,343293.0
202202,파주시,골프장,3337757.0,3734773.0
202202,파주시,기타레저,862339.0,837195.0
202202,파주시,문화서비스,437487.0,479237.0
202202,파주시,여행업,16245.0,10648.0
202202,파주시,육상운송,1.2491184E7,1.0773165E7
202202,파주시,대형쇼핑몰,2.5687408E7,3.2736647E7
202202,파주시,의료관광,146441.0,129426.0
202202,파주시,뷰티,719277.0,815005.0
202202,파주시,일반외식업,1.6877945E7,1.6830206E7
202202,파주시,제과음료업,4786636.0,3948945.0
202203,파주시,호텔,138845.0,49042.0
202203,파주시,캠핑장/펜션,48314.0,40774.0
202203,파주시,기타숙박,671611.0,551573.0
202203,파주시,여행업,3948.0,43093.0
202203,파주시,육상운송,1.7049297E7,1.3081227E7
202203,파주시,렌터카,10737.0,5848.0
202203,파주시,레저용품쇼핑,1295659.0,1150948.0
202203,파주시,기타관광쇼핑,1.6908389E7,1.577977E7
202203,파주시,관광유원시설,256315.0,223262.0
202203,파주시,골프장,7926333.0,7739244.0
202203,파주시,기타레저,1124538.0,867274.0
202203,파주시,문화서비스,393997.0,405695.0
202203,파주시,대형쇼핑몰,3.2687154E7,3.4885739E7
202203,파주시,의료관광,213483.0,158285.0
202203,파주시,뷰티,873300.0,788261.0
202203,파주시,일반외식업,2.1805136E7,1.9975235E7
202203,파주시,제과음료업,5441055.0,4077551.0
202204,파주시,호텔,106846.0,67157.0
202204,파주시,캠핑장/펜션,51597.0,31925.0
202204,파주시,기타숙박,704335.0,610215.0
202204,파주시,여행업,29837.0,11629.0
202204,파주시,렌터카,12910.0,3004.0
202204,파주시,레저용품쇼핑,1805321.0,1553539.0
202204,파주시,기타관광쇼핑,1.6609E7,1.6515082E7
202204,파주시,관광유원시설,568429.0,409253.0
202204,파주시,골프장,1.1047791E7,9554084.0
202204,파주시,기타레저,1906420.0,1185996.0
202204,파주시,문화서비스,449655.0,415469.0
202204,파주시,육상운송,1.7358996E7,1.2976809E7
202204,파주시,대형쇼핑몰,3.8361146E7,3.6430083E7
202204,파주시,의료관광,195622.0,154933.0
202204,파주시,뷰티,1032608.0,880034.0
202204,파주시,일반외식업,2.6907413E7,2.123318E7
202204,파주시,제과음료업,6532314.0,4367963.0
202205,파주시,호텔,165123.0,96411.0
202205,파주시,캠핑장/펜션,67085.0,36823.0
202205,파주시,기타숙박,762949.0,714906.0
202205,파주시,여행업,32936.0,14771.0
202205,파주시,렌터카,15485.0,4678.0
202205,파주시,레저용품쇼핑,2354970.0,1793242.0
202205,파주시,기타관광쇼핑,1.8003435E7,1.7598956E7
202205,파주시,관광유원시설,709969.0,615335.0
202205,파주시,골프장,1.2443233E7,1.0368082E7
202205,파주시,기타레저,2361008.0,1435150.0
202205,파주시,문화서비스,1159216.0,572693.0
202205,파주시,육상운송,1.8826936E7,1.2728609E7
202205,파주시,대형쇼핑몰,3.7483384E7,3.9786606E7
202205,파주시,의료관광,214758.0,159463.0
202205,파주시,뷰티,1086645.0,835721.0
202205,파주시,일반외식업,3.1378177E7,2.4383066E7
202205,파주시,제과음료업,6994733.0,5147292.0
202206,파주시,호텔,116436.0,67740.0
202206,파주시,캠핑장/펜션,50545.0,23465.0
202206,파주시,기타숙박,719452.0,651731.0
202206,파주시,여행업,58379.0,38460.0
202206,파주시,렌터카,6095.0,9590.0
202206,파주시,레저용품쇼핑,1835379.0,1446041.0
202206,파주시,기타관광쇼핑,1.6922709E7,1.662206E7
202206,파주시,관광유원시설,415538.0,439264.0
202206,파주시,골프장,1.1084054E7,1.0296115E7
202206,파주시,기타레저,1751209.0,1121816.0
202206,파주시,문화서비스,1001351.0,528116.0
202206,파주시,육상운송,1.7758282E7,1.2710084E7
202206,파주시,대형쇼핑몰,3.0933197E7,3.0540447E7
202206,파주시,의료관광,228036.0,197503.0
202206,파주시,뷰티,1026971.0,819872.0
202206,파주시,일반외식업,2.7617912E7,2.1465786E7
202206,파주시,제과음료업,6254089.0,4603504.0
202207,파주시,호텔,135767.0,79872.0
202207,파주시,캠핑장/펜션,73233.0,35880.0
202207,파주시,기타숙박,897905.0,744246.0
202207,파주시,여행업,31965.0,6623.0
202207,파주시,렌터카,11047.0,13601.0
202207,파주시,레저용품쇼핑,1636494.0,1345514.0
202207,파주시,기타관광쇼핑,1.7663369E7,1.7402931E7
202207,파주시,관광유원시설,240866.0,160305.0
202207,파주시,골프장,1.1088788E7,8631623.0
202207,파주시,기타레저,1665665.0,829966.0
202207,파주시,문화서비스,944789.0,635494.0
202207,파주시,육상운송,1.8122918E7,1.4447048E7
202207,파주시,대형쇼핑몰,2.9372717E7,2.7366245E7
202207,파주시,의료관광,193377.0,173643.0
202207,파주시,뷰티,1048691.0,795920.0
202207,파주시,일반외식업,2.9237332E7,1.9871899E7
202207,파주시,제과음료업,6714958.0,4639578.0
202208,파주시,호텔,99500.0,81843.0
202208,파주시,캠핑장/펜션,48620.0,52507.0
202208,파주시,기타숙박,882070.0,745830.0
202208,파주시,여행업,51147.0,14050.0
202208,파주시,렌터카,8594.0,3619.0
202208,파주시,레저용품쇼핑,1514770.0,1411719.0
202208,파주시,기타관광쇼핑,1.7599838E7,1.7713208E7
202208,파주시,관광유원시설,325668.0,345289.0
202208,파주시,골프장,9483227.0,8268891.0
202208,파주시,기타레저,1842250.0,1151738.0
202208,파주시,문화서비스,945963.0,735293.0
202208,파주시,육상운송,1.6656559E7,1.434086E7
202208,파주시,대형쇼핑몰,2.9414363E7,3.1330709E7
202208,파주시,의료관광,182599.0,175407.0
202208,파주시,뷰티,1046479.0,754878.0
202208,파주시,일반외식업,2.843546E7,2.0815456E7
202208,파주시,제과음료업,6967247.0,5354841.0
202209,파주시,호텔,82872.0,87275.0
202209,파주시,캠핑장/펜션,53060.0,30494.0
202209,파주시,기타숙박,779327.0,618330.0
202209,파주시,여행업,21109.0,26950.0
202209,파주시,육상운송,1.6847281E7,1.4441829E7
202209,파주시,레저용품쇼핑,1612099.0,1763636.0
202209,파주시,기타관광쇼핑,1.8474866E7,1.944765E7
202209,파주시,관광유원시설,479497.0,626481.0
202209,파주시,골프장,1.1502848E7,9232274.0
202209,파주시,기타레저,1792348.0,1597395.0
202209,파주시,문화서비스,665722.0,570069.0
202209,파주시,렌터카,4427.0,12152.0
202209,파주시,대형쇼핑몰,3.7673443E7,3.992845E7
202209,파주시,의료관광,245370.0,235189.0
202209,파주시,뷰티,1057505.0,914929.0
202209,파주시,일반외식업,2.814299E7,2.2302473E7
202209,파주시,제과음료업,6862447.0,5914276.0
